,Unnamed: 0,Query,Action
0,0,what is the price for the event,get_event_fees
1,1,due to unavoidable reasons i unable to attend the event will i get a refund,is_refundable
2,2,when is the deadline to make the payment,get_registration_date
3,3,how much does it cost to register for the event,get_event_fees
4,4,do you have any online payment options for the event,get_payment_method
5,5,when is the last day for payments,get_registration_date
6,6,when is the last day to pay,get_event_fees
7,7,can i pay through paytm or upi,get_payment_method
8,8,can i pay for a ticket at the venue,get_payment_method
9,9,what are the prizes up for grabs,get_prizes
10,10,can i cancel my registration after paying the fees,is_refundable
11,11,are there any benefits or discounts,get_discounts
12,12,can i get a refund if i ca make it,is_refundable
13,13,do you refund the payment,get_payment_method
14,14,can i pay using debit cards what if my credit card is not international,get_payment_method
15,15,which debit cards can be used,get_payment_method
16,16,hey,greet
17,17,what is the refund policy,is_refundable
18,18,what are the various payment methods,get_payment_method
19,19,can i have a refund of my money,is_refundable
20,20,can i get the money back,is_refundable
21,21,can i pay later for the event,get_payment_method
22,22,is on spot registration available,get_payment_method
23,23,what all modes of payment are available,get_payment_method
24,24,what is the schedule for date,show_schedule
25,25,how long is the lunch break,show_schedule
26,26,when is the event happening,get_event_date
27,27,what are the timings for,get_event_time
28,28,what is happening at 4 on august 5,show_schedule
29,29,will there be breaks in between technical session on day,show_schedule
30,30,what is happening on the second day,show_schedule
31,31,at what time does the event end,get_event_time
32,32,what events are scheduled on august between 2 to 5,show_schedule
34,34,major events on the first day,show_schedule
35,35,when does the event end,get_event_date
36,36,what is going to happen at on august,show_schedule
37,37,when does the event start,get_event_date
38,38,will be get accomodation,show_accomodation
39,39,whats happening on july around,show_schedule
40,40,i like to get the iteanery,show_schedule
41,41,what is the schedule of the event,show_schedule
42,42,what are the events on date or day,show_schedule
44,44,what events are going to happen,get_event_date
45,45,can we come a bit late,get_event_time
46,46,where can i find the itinerary,show_schedule
47,47,is there any break,show_schedule
48,48,who are the speakers for date,show_speakers
49,49,is there a provision available to meet the speakers after the event,speaker_details_extra
50,50,who is the speaker,show_speakers
51,51,where are the speakers from,show_speakers
52,52,can i get the email of all the speakers,show_speakers
53,53,how many speakers are coming and will there be a q and a,show_speakers
54,54,how many speakers are going to speak in the event,show_speakers
55,55,how many speakers are there,show_speakers
56,56,could i know more about the ai speakers,show_speakers
57,57,i like to know about the speakers,show_speakers
58,58,more about the speakers,show_speakers
59,59,is there a question and answer session with the speakers,speaker_details_extra
60,60,who are the speakers at the event,show_speakers
61,61,who all are coming for panel discussions on what days are the best speakers coming,show_speakers
62,62,could i get in touch with a speaker,speaker_details_extra
63,63,where are the speakers from,show_speakers
64,64,can i have a list of the speakers,show_speakers
65,65,who are speaking in this event,show_speakers
66,66,who all are going to speak in the events,show_speakers
67,67,what speakers are coming in the event,show_speakers
68,68,can i have a personal chat with them,speaker_details_extra
69,69,where are they going to stay,show_accomodation
70,70,what are the arrangements for food,show_food_arrangements
71,71,do you provide unsweetened drinks for diabetics,show_food_arrangements
72,72,is food provided for all the days till the event ends,show_food_arrangements
73,73,is food complimentary,show_food_arrangements
74,74,does the registration cost involve food,show_food_cost
75,75,whats the scene with meals,show_food_arrangements
76,76,is the food unlimited,show_food_arrangements
77,77,when is lunch going to be served today,show_schedule
78,78,is food provided,show_food_arrangements
79,79,any payments related to food,show_food_cost
80,80,is food provided three times a day,show_schedule
81,81,will food and snacks be provided,show_food_arrangements
82,82,do we pay for our own food how many meals are you providing,show_food_arrangements
83,83,is the food complimentary,show_food_arrangements
84,84,will food be provided,show_food_arrangements
85,85,are we going to have lunch breaks during the event,show_schedule
86,86,can we bring in food from outside,show_food_arrangements
87,87,what kind of food will be provided,show_food_arrangements
88,88,will stay be arranged,show_accomodation
89,89,how far is the college from the hotel i will be staying at,show_accomodation_address
90,90,how far away from the event is the accomodation arranged,show_accomodation_address
91,91,is accommodation only for participants or for their family too,show_accomodation
92,92,will you be arranging accommodation,show_accomodation
93,93,does the accommodation have ac,show_accomodation
94,94,how far is the accommodation location from the event location,get_distance
95,95,do i have to pay separately for accommodation,show_accomodation_price
96,96,how do i commute to the venue from my accommodation,show_accomodation
97,97,i like to know the details for accommodation,show_accomodation
98,98,detailed information regarding accommodation,show_accomodation
99,99,will you be booking tickets for us if we pay that money,show_accomodation_price
100,100,will accommodation be arranged for participants,show_accomodation
101,101,do we pay for our own accommodation how much would it cost,show_accomodation_price
102,102,is the accommodation provided,show_accomodation
103,103,what the cost of accomodation,show_accomodation_price
104,104,whats the scene with accommodation,show_accomodation
105,105,are the meals going to be provided along with accommodation,show_accomodation
106,106,is the accommodation provided by you,show_accomodation
107,107,can i have the details of the stay,show_accomodation_address
108,108,is the complimentary food given,show_food_arrangements
109,109,is warm water available,show_accomodation
110,110,is ac available,show_accomodation
111,111,any pictures of the rooms,show_accomodation
112,112,any cheaper acco available,show_accomodation
113,113,when is event,get_event_date
114,114,where is your penis,Others
115,115,where the hoes at,Others
116,116,where the hoes at,Others
117,117,fuck my ass,Others
118,118,how big is wiz khalifa penis,Others
119,119,who them speakers,show_speakers
120,120,will i get discounts on registrations,get_discounts
121,121,what is the damage,get_event_fees
122,122,how far is it,get_distance
123,123,when the party,show_schedule
124,124,where the party,get_distance
125,125,who the homies on the stage,show_speakers
126,126,where the titties at,Others
127,127,is my nigga zuccc a lizzzard,Others
128,128,i want my money back,is_refundable
129,129,by when can i get my money back,is_refundable
130,130,what is the process for refund,is_refundable
131,131,what are the prizes,get_prizes
132,132,what am i gon na take home,get_prizes
133,133,how much should i spend on food,show_food_cost
134,134,how many times will we get food,show_food_arrangements
135,135,will snoop dogg smoke weed with us,Others
136,136,where will the guests stay,show_accomodation
137,137,who are the peopel speaking,show_speakers
138,138,will there be a place to stay,show_accomodation_address
139,139,wheresthe cultural night at,get_location
140,140,when is the last date to register,get_registration_date
141,141,by when can i register,get_registration_date
142,142,when is the vellore tour,get_event_time
143,143,will i get tshirts,get_prizes
144,144,from where will the food come,show_food_arrangements
145,145,what are the hotels available,show_accomodation_address
146,146,are the speakers qualified,show_speakers
147,147,any early bird offers,get_discounts
148,148,what will be the menu,show_food_arrangements
150,150,i want to know how much the food costs,show_food_cost
151,151,how can i pay,get_payment_method
152,152,will i get stickers,get_prizes
153,153,how many prizes are there,get_prizes
154,154,can i talk to the speakers after the event,speaker_details_extra
155,155,tell me where the event is happening,get_location
156,156,shut up and take my money,get_payment_method
157,157,who gon na be talking at the show,show_speakers
158,158,are the number of delegate positions limited,get_registration_date
160,160,how do i get to the venue,get_distance
163,163,can i get a map,get_location
164,164,what about food,show_food_cost
165,165,can i see the schedule,show_schedule
166,166,what for food,show_food_cost
167,167,i want to know what the prizes are,get_prizes
168,168,how much,get_event_fees
169,169,let me know about the awards,get_prizes
170,170,tell me when the event is beginning,get_event_date
171,171,when does deep learning start,get_registration_date
172,172,where is this happening,get_location
173,173,how do you want me to pay,get_payment_method
174,174,when should i sign up,get_registration_date
175,175,fill me in about the speakers,show_speakers
176,176,what are the conditions to get a discount on the registration fees,get_discounts
177,177,what is the prze distribution,get_prizes
179,179,how much should i pay for attending the event,get_event_fees
180,180,how much does this cost,get_event_fees
181,181,how much money should i pay to attend this,get_event_fees
182,182,how much would it cost me to attend this event,get_event_fees
183,183,if i am not available on those dates later will i get my money back,is_refundable
184,184,can i get my money back if i decide to cancel later,is_refundable
185,185,will i get refunded if i cancel later,is_refundable
186,186,are the event fees refundable,is_refundable
187,187,if i choose to drop out later will i get my money back,is_refundable
188,188,can i get my money returned if i ca come,is_refundable
189,189,are there any discounts i can avail on the registration fee,get_discounts
190,190,any discounts available,get_discounts
191,191,are there any types of fee reductions we can avail,get_discounts
192,192,can i cancel and expect a refund,is_refundable
193,193,are there any discounts applicable for this event,get_discounts
194,194,where do i stay,show_accomodation
195,195,how do i pay,get_payment_method
196,196,i want to cancel my delegation,is_refundable
197,197,what are the last dates for registrations,get_registration_date
198,198,when do registrations begin,get_registration_date
199,199,when can i apply for this event,get_registration_date
200,200,are there any prizes for this,get_prizes
201,201,where am i traveling,get_location
202,202,what is my destination,get_location
203,203,how far is my destination,get_distance
204,204,what the entry fee,get_event_fees
205,205,will i get my money back if i cancel,is_refundable
206,206,it too costly is there anything i could do to reduce the amount,get_discounts
207,207,when is the last date for registration,get_registration_date
208,208,how can i pay,get_payment_method
209,209,will i win anything,get_prizes
210,210,when should i come,get_event_time
211,211,can i stay at my hostel,show_accomodation
212,212,can i increase my network,show_speakers
213,213,where is sandeep from,speaker_details_extra
214,214,what if i get hungry,show_food_arrangements
215,215,where is it,get_distance
216,216,what are the timings,show_schedule
217,217,i love ieee,Others
218,218,where is it tho,get_location
219,219,can i get some discounts for the conference,get_discounts
220,220,what are some of the options where i can stay around,show_accomodation
221,221,what are some places to stay,show_accomodation
222,222,can i get a refund,is_refundable
223,223,show some places to eat around,show_food_arrangements
224,224,i am hungry,show_food_arrangements
225,225,best places to get food,show_food_arrangements
226,226,how much does the food cost,show_food_cost
227,227,what are the prizes,get_prizes
228,228,how big is my penis,Others
229,229,when does this start,get_event_time
230,230,can i speak to the speakers after the event,speaker_details_extra
231,231,can i pay lesser,get_discounts
232,232,what up with the stay for the speakers,show_accomodation
233,233,tell me how far is this event,get_distance
234,234,how am i supposed to pay for this,get_payment_method
235,235,location of the venue,get_location
236,236,registration fee,get_event_fees
237,237,what are my accommodations like,show_accomodation
238,238,what is the refund policy,is_refundable
239,239,are the rooms,show_accomodation
240,240,where is vellore exactly,get_location
241,241,what is the total amount i need to pay,get_event_fees
242,242,how much amount of the registration fees will be refunded,is_refundable
243,243,are there any discount codes,get_discounts
244,244,any discount coupons,get_discounts
245,245,when is the event starting,get_registration_date
246,246,can i pay by cash,get_payment_method
247,247,what is the reward for place,get_prizes
248,248,when does the event end,get_event_time
249,249,will i be provided accommodation,show_accomodation
250,250,is there a speaker from google,show_speakers
251,251,can i get more details of the event,speaker_details_extra
252,252,what will be provided for lunch,show_food_arrangements
253,253,how much for dinner,show_food_cost
254,254,how far is the event from chennai,get_distance
255,255,at what time will snacks be served,show_schedule
256,256,when s the last day of the event,get_event_date
257,257,what will i get if i win the event,get_prizes
258,258,do i get accommodation if i join itc,show_accomodation
259,259,where is the event,get_location
260,260,who else is going to be there,show_speakers
261,261,when is the itc starting,get_event_time
262,262,why is melody so chocolaty,Others
263,263,who is the first person to walk on the moon,Others
264,264,i want to order a pizza,Others
265,265,how is life,Others
266,266,how to become a fortnite pro,Others
267,267,who killed jfk,Others
268,268,hey,greet
269,269,hello,greet
270,270,hi,greet
271,271,yo,greet
272,272,heyyy,greet
273,273,heyy,greet
274,274,heyyyyy,greet
275,275,hiii,greet
276,276,who is in charge,greet
277,277,who is,show_contact_info
278,278,whom can i contact,show_contact_info
279,279,hello what up,greet
280,280,what can you do,about_chatbot
281,281,what are you capable of,about_chatbot
282,282,what else can you do,about_chatbot
283,283,who are you,about_chatbot
284,284,who are you,about_chatbot
285,285,what is your purpose,about_chatbot
286,286,hello friend,greet
287,287,hello there,greet
288,288,who was the president of the united states,Others
289,289,hey,greet
290,290,hello,greet
291,291,hi,greet
292,292,yo,greet
293,293,heyyy,greet
294,294,heyy,greet
295,295,heyyyyy,greet
296,296,hiii,greet
297,297,who is in charge,greet
298,298,who is,show_contact_info
299,299,whom can i contact,show_contact_info
300,300,hello what up,greet
301,301,what can you do,about_chatbot
302,302,what are you capable of,about_chatbot
303,303,what else can you do,about_chatbot
304,304,who are you,about_chatbot
305,305,who are you,about_chatbot
306,306,what is your purpose,about_chatbot
307,307,hello friend,greet
308,308,hello there,greet
309,309,due to certain reasons i unable to attend the event will i get a refund,is_refundable
310,310,due to inescapable reasons i unable to attend the event will i get a refund,is_refundable
311,311,due to inevitable reasons i unable to attend the event will i get a refund,is_refundable
312,312,due to necessary reasons i unable to attend the event will i get a refund,is_refundable
313,313,due to unavoidable logic i unable to attend the event will i get a refund,is_refundable
314,314,due to unavoidable reasoning i unable to attend the event will i get a refund,is_refundable
315,315,due to unavoidable sense i unable to attend the event will i get a refund,is_refundable
316,316,due to unavoidable reasons i helpless to attend the event will i get a refund,is_refundable
317,317,due to unavoidable reasons i impotent to attend the event will i get a refund,is_refundable
318,318,due to unavoidable reasons i inadequate to attend the event will i get a refund,is_refundable
319,319,due to unavoidable reasons i incapable to attend the event will i get a refund,is_refundable
320,320,due to unavoidable reasons i unable to show up the event will i get a refund,is_refundable
321,321,due to unavoidable reasons i unable to visit the event will i get a refund,is_refundable
322,322,due to unavoidable reasons i unable to attend the event will i get an allowance,is_refundable
323,323,due to unavoidable reasons i unable to attend the event will i get an compensation,is_refundable
