,Query,Action
0,what is the price for the event,get_event_fees
1,due to unavoidable reasons i unable to attend the event will i get a refund,is_refundable
2,when is the deadline to make the payment,get_registration_date
3,how much does it cost to register for the event,get_event_fees
4,do you have any online payment options for the event,get_payment_method
5,when is the last day for payments,get_registration_date
6,when is the last day to pay,get_event_fees
7,can i pay through paytm or upi,get_payment_method
8,can i pay for a ticket at the venue,get_payment_method
9,what are the prizes up for grabs,get_prizes
10,can i cancel my registration after paying the fees,is_refundable
11,are there any benefits or discounts,get_discounts
12,can i get a refund if i ca make it,is_refundable
13,do you refund the payment,get_payment_method
14,can i pay using debit cards what if my credit card is not international,get_payment_method
15,which debit cards can be used,get_payment_method
16,hey,greet
17,what is the refund policy,is_refundable
18,what are the various payment methods,get_payment_method
19,can i have a refund of my money,is_refundable
20,can i get the money back,is_refundable
21,can i pay later for the event,get_payment_method
22,is on spot registration available,get_payment_method
23,what all modes of payment are available,get_payment_method
24,what is the schedule for date,show_schedule
25,how long is the lunch break,show_schedule
26,when is the event happening,get_event_date
27,what are the timings for,get_event_time
28,what is happening at on august,show_schedule
29,will there be breaks in between technical session on day,show_schedule
30,what is happening on the second day,show_schedule
31,at what time does the event end,get_event_time
32,what events are scheduled on august between to,show_schedule
33,major events on the first day,show_schedule
34,when does the event end,get_event_date
35,what is going to happen at on august,show_schedule
36,when does the event start,get_event_date
37,will be get accomodation,show_accomodation
38,whats happening on july around,show_schedule
39,i like to get the iteanery,show_schedule
40,what is the schedule of the event,show_schedule
41,what are the events on date or day,show_schedule
42,what events are going to happen,get_event_date
43,can we come a bit late,get_event_time
44,where can i find the itinerary,show_schedule
45,is there any break,show_schedule
46,who are the speakers for date,show_speakers
47,is there a provision available to meet the speakers after the event,speaker_details_extra
48,who is the speaker,show_speakers
49,where are the speakers from,show_speakers
50,can i get the email of all the speakers,show_speakers
51,how many speakers are coming and will there be a q and a,show_speakers
52,how many speakers are going to speak in the event,speaker_details_extra
53,how many speakers are there,speaker_details_extra
54,could i know more about the ai speakers,speaker_details_extra
55,i like to know about the speakers,speaker_details_extra
56,more about the speakers,speaker_details_extra
57,is there a question and answer session with the speakers,speaker_details_extra
58,who are the speakers at the event,show_speakers
59,who all are coming for panel discussions on what days are the best speakers coming,show_speakers
60,could i get in touch with a speaker,speaker_details_extra
61,where are the speakers from,speaker_details_extra
62,can i have a list of the speakers,show_speakers
63,who are speaking in this event,show_speakers
64,who all are going to speak in the events,show_speakers
65,what speakers are coming in the event,show_speakers
66,can i have a personal chat with them,speaker_details_extra
67,where are they going to stay,show_accomodation
68,what are the arrangements for food,show_food_arrangements
69,do you provide unsweetened drinks for diabetics,show_food_arrangements
70,is food provided for all the days till the event ends,show_food_arrangements
71,is food complimentary,show_food_arrangements
72,does the registration cost involve food,show_food_arrangements
73,whats the scene with meals,show_food_arrangements
74,is the food unlimited,show_food_arrangements
75,when is lunch going to be served today,show_schedule
76,is food provided,show_food_arrangements
77,any payments related to food,show_food_arrangements
78,is food provided three times a day,show_schedule
79,will food and snacks be provided,show_food_arrangements
80,do we pay for our own food how many meals are you providing,show_food_arrangements
81,is the food complimentary,show_food_arrangements
82,will food be provided,show_food_arrangements
83,are we going to have lunch breaks during the event,show_schedule
84,can we bring in food from outside,show_food_arrangements
85,what kind of food will be provided,show_food_arrangements
86,will stay be arranged,show_accomodation
87,how far is the college from the hotel i will be staying at,show_accomodation
88,how far away from the event is the accomodation arranged,show_accomodation
89,is accommodation only for participants or for their family too,show_accomodation
90,will you be arranging accommodation,show_accomodation
91,does the accommodation have ac,show_accomodation
92,how far is the accommodation location from the event location,get_distance
93,do i have to pay separately for accommodation,show_accomodation
94,how do i commute to the venue from my accommodation,show_accomodation
95,i like to know the details for accommodation,show_accomodation
96,detailed information regarding accommodation,show_accomodation
97,will you be booking tickets for us if we pay that money,show_accomodation
98,will accommodation be arranged for participants,show_accomodation
99,do we pay for our own accommodation how much would it cost,show_accomodation
100,is the accommodation provided,show_accomodation
101,what the cost of accomodation,show_accomodation
102,whats the scene with accommodation,show_accomodation
103,are the meals going to be provided along with accommodation,show_accomodation
104,is the accommodation provided by you,show_accomodation
105,can i have the details of the stay,show_accomodation
106,is the complimentary food given,show_food_arrangements
107,is warm water available,show_accomodation
108,is ac available,show_accomodation
109,any pictures of the rooms,show_accomodation
110,any cheaper acco available,show_accomodation
111,when is event,get_event_date
112,who them speakers,show_speakers
113,will i get discounts on registrations,get_discounts
114,what is the damage,get_event_fees
115,how far is it,get_distance
116,when the party,show_schedule
117,where the party,get_distance
118,who the homies on the stage,show_speakers
119,i want my money back,is_refundable
120,by when can i get my money back,is_refundable
121,what is the process for refund,is_refundable
122,what are the prizes,get_prizes
123,what am i gon na take home,get_prizes
124,how much should i spend on food,show_food_arrangements
125,how many times will we get food,show_food_arrangements
126,where will the guests stay,show_accomodation
127,who are the peopel speaking,show_speakers
128,will there be a place to stay,show_accomodation
129,wheresthe cultural night at,get_location
130,when is the last date to register,get_registration_date
131,by when can i register,get_registration_date
132,when is the vellore tour,get_event_time
133,will i get tshirts,get_prizes
134,from where will the food come,show_food_arrangements
135,what are the hotels available,show_accomodation
136,are the speakers qualified,show_speakers
137,any early bird offers,get_discounts
138,what will be the menu,show_food_arrangements
139,i want to know how much the food costs,show_food_arrangements
140,how can i pay,get_payment_method
141,will i get stickers,get_prizes
142,how many prizes are there,get_prizes
143,can i talk to the speakers after the event,speaker_details_extra
144,tell me where the event is happening,get_location
145,shut up and take my money,get_payment_method
146,who gon na be talking at the show,show_speakers
147,are the number of delegate positions limited,get_registration_date
148,how do i get to the venue,get_distance
149,can i get a map,get_location
150,what about food,show_food_arrangements
151,can i see the schedule,show_schedule
152,what for food,show_food_arrangements
153,i want to know what the prizes are,get_prizes
154,how much,get_event_fees
155,let me know about the awards,get_prizes
156,tell me when the event is beginning,get_event_date
157,when does deep learning start,get_registration_date
158,where is this happening,get_location
159,how do you want me to pay,get_payment_method
160,when should i sign up,get_registration_date
161,fill me in about the speakers,speaker_details_extra
162,what are the conditions to get a discount on the registration fees,get_discounts
163,what is the prze distribution,get_prizes
